periodo;fecha_ticket;der;tipo_de_registro;clasificacion_excel;descripcion_caso
2026-01-01;2026-01-02;9580875;Consulta;No aplica / condiciones;Cliente consulta acerca de la promocion con el club cerro porteño ya que el abonaba de forma anual y queria confirmar si para este año podria volver a abonar asi ya que bajo el tope, verificamos y le informamos que por el momento se encuentra actualizada solo de forma mensual y que se debe contactar con el club para el registro ante cualquie inconveniente
2026-01-01;2026-01-02;9581141;Consulta;No aplica / condiciones;Cliente contatca consultando por un reintegro pendiente, se verifica que el numero de comprobante 4807367474 aun no estaria registrado en bk, teniendo en cuenta eso se verifica que el reintegro no aplica debido a que la compra fue realizada con un pos incorrecto
2026-01-01;2026-01-02;9581541;Consulta;No aplica / condiciones;"Cliente se comunica ya que solicita información acerca de unos reintegros no acreditados 
1 
Monto: 282.675
Sucursal :SUP.S6-LAURELTY 
Tarjeta de crédito
Cliente no aplica ay que no cumple con la compra mínima según byc 
2
303.726
SUP.S6-LAURELTY
Tarjeta de crédito 
Verificamos y el cliente ya no cumple con los montos de reintegros mensuales , se le da la información y agradece"
2026-01-01;2026-01-02;9581604;Consulta;Reclamo / revision;Cliente consulta el estado de su reclamo, se verifica gestión en caso N° 09512840.
2026-01-01;2026-01-02;9582408;Consulta;No aplica / condiciones;se le indica que el reintegro no corresponde.-
2026-01-01;2026-01-02;9582716;Consulta;No aplica / condiciones;Cliente reclama un reintegro, verificamos y no corresponde explicamos al cliente
2026-01-01;2026-01-02;9582762;Consulta;No aplica / condiciones;"Cliente reclama que aun no se le acreditó su reintegro por la compra de combustible en Petropar en fecha 30/12 por el monto de 300.000gs.
Ya que se verifica que según el nivel 1, con la compra desde su TD, el reintegro corresponde al valor de 10.000 y se indica que ya alcanzó el tope semanal según su nivel.
Cliente comprende y agradece."
2026-01-01;2026-01-02;9583470;Consulta;No aplica / condiciones;Cliente se contacta consultando por el monto mínimo de compra y el tope de la promoción de supermercados, le indicamos los detalles.
2026-01-01;2026-01-02;9584529;Consulta;Solo nro. caso;09526667
2026-01-01;2026-01-02;9584554;Consulta;No aplica / condiciones;Cliente reclama reintegro no acreditado, se verifica que no aplica dado al tipo de pos utilizado, se realiza contacto via llamada y se le indica lo verificado, la misma agradece la atencion.
2026-01-01;2026-01-02;9584782;Consulta;No aplica / condiciones;Cliente consulta por reintegro de bolsa de tiendas Black, se indica que llego a tope de reintegro y se menciona reintegros recibidos recibidos, comprende y se despide
2026-01-01;2026-01-02;9585042;Consulta;No aplica / condiciones;Reintegro no aplica.
2026-01-01;2026-01-02;9585165;Consulta;Seguimiento interno;"La cliente reclama que no recibió el reintegro por una compra realizada en Petropar, además de notar que no sumó upys ni visualiza los upys por acción de ahorro programado. Verifico y le indico que la promoción de Petropar ya no es válida para pagos vía QR, aplicando solo para compras con tarjeta física o billeteras digitales (Apple Pay/Google Pay). Adjunto BYC.
Le menciono que los pagos con QR han dejado de sumar upys y le confirmo que en el mes de enero no habría reintegros con pagos con QR en la promoción de Petropar. 
Luego le confirmo que ya estuvo sumando 700 upys por sus ahorros programados y le comento que la puntuación no es por cada ahorro individual, sino que se basa en el monto total aportado en todos sus ahorros activos, detallo los rangos, cuando consulta si sumarian por uno solo o de manera conjunta.
Realizo llamada saliente VC-02003162, cliente responde, le indico lo verificado, cliente indica que comprende."
2026-01-01;2026-01-02;9585483;Consulta;No aplica / condiciones;Cliente consulta por el reintegro de una compra realizada en Sup. Stock. Se verifica que la compra se hizo con TD y menor al monto establecido en las byc. Se le indica al cliente que el reintegro no aplicaría.
2026-01-01;2026-01-02;9585672;Consulta;No aplica / condiciones;Clienta se contacta por un reintegro solicitado, que no corresponde, por que su compra fue en diciembre y la promoción era en noviembre, cliente molesta menciona que solicita por correo electronico la explicación proporcionada durante la llamada. Proporcionamos correo. Cerramos caso.
2026-01-01;2026-01-02;9585756;Consulta;No aplica / condiciones;Cliente consulta por dos reintegros de petropar los cuales no estarian aplicando, debido al medio de pago y tambien debido al tope
2026-01-01;2026-01-02;9585885;Consulta;Reclamo / revision;"Menciona que recibio un correo referente al caso 08170956 en cuanto a la finalizacion de dicho caso; se menciona que la notificacion se debe a que culmino el seguimiento sobre un reclamo por reintegro de un movimiento realizado en fecha 21/10/2025. Agradece la explicacion ya que no recordaba el reclamo y se despide."
2026-01-01;2026-01-02;9586185;Consulta;No aplica / condiciones;"Cliente reclama que no se acredito un reintegro de una recarga de combustible en petropar, se verifica que realizo el pago con la red dinelco, se le indica al cliente que el reintegro no corresponde y que según las bc, debe pagar por la red infonet o upay.
Monto: 28.000
fecha: 28/12/2025"
2026-01-01;2026-01-02;9586229;Consulta;No aplica / condiciones;Cliente consulta por reintegro no aplicado del mes de octubre en el reclamo se reitero que llego al tope de compras de octubre se le indica esto al cliente y no aceptan la informacion. se le reitera esta informacion y dicen que pasaran por CE
2026-01-01;2026-01-02;9586264;Consulta;No aplica / condiciones;Cliente consulta por reintegro, se indica que ha llegado al tope, también consulta por sus casos anteriores, se indica aún en gestión.
2026-01-01;2026-01-02;9586493;Consulta;No aplica / condiciones;El cliente se contacta para consultar sobre un reintegro de salema, se puede observar que no corresponde porque fue compra en web
2026-01-01;2026-01-02;9587523;Consulta;Reclamo / revision;"➤ Motivo del contacto: El cliente se comunica por dos motivos: primero, para reclamar una diferencia en los montos de reintegro por el débito automático del Club Cerro Porteño; segundo, por la dificultad para visualizar el débito automático de una compra en cuotas.

➤ Gestión Realizada:

Análisis de Beneficios (ueno duo): Se verifica el historial de reintegros y se le explica al cliente que la variación en los montos se debe a su nivel en el programa de fidelidad al momento de los cobros. Se detalla que los dos primeros pagos recibieron un 25% de reintegro según su nivel previo, mientras que el tercer pago alcanzó el 30% tras subir de nivel, aclarando así la diferencia reclamada.

Asistencia Técnica de Visualización: Ante la duda sobre el débito de la compra cuota, se guía al cliente sobre el uso de la plataforma para localizar su extracto correspondiente.

Validación de Datos: Se le informan los datos específicos de la transacción: monto exacto, fecha en que se procesó el débito y el periodo del extracto donde puede descargar el comprobante para su control personal.

➤ Cierre: Se resuelven ambas dudas de manera integral, proporcionando transparencia sobre los beneficios y la gestión de cuentas. Se finaliza la gestión bajo la tipificación de Consulta."
2026-01-01;2026-01-02;9587559;Consulta;No aplica / condiciones;Cliente menciona que no recibió la totalidad de su reintegro por una compra en PETROPAR, se verifica que el cliente llegó al tope de reintegro semanal y se confirma en el chat, cliente agradece la atención.
2026-01-01;2026-01-02;9587606;Consulta;Seguimiento interno;RE CONTACTO 09329152, SE PIDE PRIORIDAD
2026-01-01;2026-01-02;9587999;Consulta;No aplica / condiciones;"- cliente consulta sobre un reintegro de la promocion del CIT
- se verifican byc y CW
- Se le informa que, debido a que realizó el pago con po infonet el reintegro no aplica y se le envía las bases y condiciones de la promoción al correo"
2026-01-01;2026-01-02;9588368;Consulta;No aplica / condiciones;"Cliente en cuestion consulta si se le va reintegrar 2 compras una de SUPERMERCADO REAL y otra de UPA.

Se le indica que según Promoción Reintegro “Bolsa Supermercados” en el mes de enero no incluye SUPERMERCADO REAL.


Se le indica que según Promoción Reintegro “Bolsa Gastronomía”
Si compra el UPA debe pagar con el pos de UPAY - sin embargo le cobraron con el pos de INFONET

Se le envía el PDF de BYC.-"
2026-01-01;2026-01-02;9588654;Consulta;No aplica / condiciones;Cliente se acerca al ROT, consulta de reintegro llego a límite
2026-01-01;2026-01-02;9589208;Consulta;No aplica / condiciones;Cliente consulta por el reintegro de su compra, se verifica que no aplica, ya que fue realizado con POS de la red infonet y aplica con Upay.
2026-01-01;2026-01-02;9589582;Consulta;No aplica / condiciones;"➤Motivo del contacto: Consulta por reintegro de un pago que hizo el  20/12
➤Verificación realizada: Verifico que ya llego al tope de compras en el mes.
➤Información brindada: Le indico que ya llego al tope de reintegros en el mes por eso no se le reintegro."
2026-01-01;2026-01-02;9589678;Consulta;No aplica / condiciones;"La cliente, se contacta solicitando información sobre un reintegro. Durante la verificación, se confirma que su compra por Gs. 343.061, realizada el 18/12/2025, fue efectuada a través del POS de la red Infonet. Se le informa que, según las bases y condiciones de la promoción Reintegro Bolsa Farmacias para el comercio Farmacenter, la promoción aplica exclusivamente con POS de la red Upay.

Se le comparte el documento con las bases y condiciones de la promoción para su verificación. Además, se le indica que todos los detalles pueden consultarse desde la aplicación en el apartado Beneficios Ueno+, descargando los términos y condiciones, o desde la página web en el apartado de Información Legal.

La cliente comprende la información, no presenta más dudas y se concluye el caso."
2026-01-01;2026-01-02;9589800;Consulta;No aplica / condiciones;Cliente consulta por reintegro de compra en petropar en diciembre, se informa que ya alcanzó el tope de acuerdo a su nivel. A falta de respuesta en chat se realiza saliente sin éxito dejo buzón.
2026-01-01;2026-01-02;9590575;Consulta;No aplica / condiciones;cliente consulta sobre reintegros y se le indica que no aplica el comercio en el mes de diciembre por eso no recibio reintegros
2026-01-01;2026-01-02;9590862;Consulta;No aplica / condiciones;Cliente consulta el motivo por el que ya no recibe reintegros. Se verifica que supera el tope ajustado a su nivel
2026-01-01;2026-01-02;9591033;Consulta;Seguimiento interno;"Se derivo al leader de piso, para solicitud de Prioridad, teniendo en cuenta el reclamo de Reintegro fue del mes de Diciembre 

SOLICITUD DE PRIORIDAD 🚨🚨🚨🚨🚨🚨🚨🚨🚨
📌 Nombre y Apellido:Paulo Sergio Moreira Pefaur
📌 CI:    4355911
📌 Área:  Loyalty Reintegros
📌 Motivo de derivación: Reintegro no aplicado
📌 Fecha de origen del caso: 📌Solicitante (cargo):   Ejecutivo de Experiencia Telefónica
 📌Caso:   09272295
 📌Fecha de origen del caso: 12/12/2025, 11:32"
2026-01-01;2026-01-02;9591149;Consulta;Reclamo / revision;Cliente consulta por su reclamo 09590735
2026-01-01;2026-01-02;9591223;Consulta;No aplica / condiciones;"➤Motivo del contacto: La clienta consulta el motivo por el cual no recibió el reintegro de una carga de combustible realizada en Petropar de la Avda. Perón.
➤Verificación realizada: Se revisó la transacción en el sistema, constatando que el comprobante del POS de Infonet figura a nombre de ""Petrosur Ytororo"". Se confirmó que la promoción de ueno bank es exclusiva para la Petropar y que el sistema detecta automáticamente el comercio registrado en la terminal de pago; en este caso, al figurar como Petrosur, no califica para el beneficio.
➤Información brindada: Se le explicó a la clienta que el reintegro no impactó debido a que el POS utilizado está registrado comercialmente como Petrosur, comercio que no forma parte de la promoción actual. Se aclaró que pudo tratarse de una confusión o error en la asignación del equipo por parte del comercio. La clienta comprendió la explicación, no manifestó molestia y se dio por finalizada la llamada."
2026-01-01;2026-01-02;9591711;Consulta;No aplica / condiciones;"➤ Motivo del contacto: Consulta sobre si el beneficio de reintegro (bolsa de Hoteles) aplica para un consumo en el hotel ""Monte Luna"".

➤ Verificación realizada: Se revisaron las Bases y Condiciones actualizadas al mes de enero, confirmando que dicho establecimiento no se encuentra incluido en la promoción.

➤ Acción tomada: Se informó a la cliente que el beneficio no aplica en ese comercio y se le recomendó consultar siempre el listado actualizado en la App. Adicionalmente, se le aclaró que para acceder a los reintegros (en comercios adheridos), el pago debe procesarse obligatoriamente a través de POS o vPOS (Link de Pago)."
2026-01-01;2026-01-02;9592256;Consulta;Seguimiento interno;"➤Motivo del contacto:  reintegro de octubre

➤Verificación realizada: caso principal 07860048

➤ Acción tomada/ información brindada:  le pido disculpas por la demora del caso y le indico que solicito la prioridad del mismo para darle retorno en la brevedad

SOLICITUD DE PRIORIDAD 🚨🚨🚨🚨🚨🚨🚨🚨🚨
📌 Nombre y Apellido: Marta Concepcion Aguero Armoa  
📌 CI:    1212853 
📌 Área:  Loyalty - Reintegros
📌 Motivo de derivación:  reintegro
📌 Fecha de origen del caso: 📌Solicitante (cargo):   Ejecutivo de Experiencia Telefónica
 📌Caso:   07860048
 📌Fecha de origen del caso: 10/10/2025, 15:27

OBS: ya demuestra molestia por la demora en la respuesta"
2026-01-01;2026-01-03;9595008;Consulta;Reclamo / revision;Indico que una transaccion fue anulada por lo cual el reitegro también, se debe a la cancelación del viaje.
2026-01-01;2026-01-03;9595810;Consulta;Reclamo / revision;Buenas, cliente se contacta para verificar el estado de su reclamo, mandamos prioridad
2026-01-01;2026-01-03;9597471;Consulta;Seguimiento interno;"Estimados equipo de Alianzas,

Me pongo en contacto con ustedes para reportar un reclamo recibido por parte de un cliente respecto a una inconsistencia en la información de una de nuestras promociones actuales.

Detalles del caso:

Origen: El cliente visualizo un flayers en las historias de Instagram de ueno bank.

Informacion en la historia: Se indica una promocion vigente del 1 al 31 de enero con un 30% de reintegro en todos los niveles.

El problema: Al ingresar al enlace adjunto en la historia para consultar las Bases y Condiciones (ByC), la informacion desplegada es distinta. El documento muestra porcentajes de reintegro variables que dependen del nivel del cliente, contradiciendo el 30% general anunciado inicialmente.

El cliente manifiesta su interes en realizar una compra en la Optica Luce bajo las condiciones publicitadas en la red social y solicita una aclaracion urgente sobre cual es el beneficio real que se le aplicara.

Solicito su apoyo para:

Verificar si existe un error en el enlace de las Bases y Condiciones o en la grafica de la historia.

Confirmar las condiciones vigentes para la Optica Luce.

Brindarnos una respuesta oficial para transmitir al cliente a la brevedad.

Quedo atento a sus comentarios para dar curso a esta solicitud.

Saludos cordiales.


Luego de ese correo el equipo de alianza indico que ya se encuentra actualizado y se le contacto al cliente nuevamente, quedando agradecido el cliente."
2026-01-01;2026-01-03;9597564;Consulta;Seguimiento interno;"SOLICITUD DE PRIORIDAD
📌 Nombre y Apellido: CESAR AMARILLA ALVARENGA
📌 CI: 1547980
📌 Motivo de derivación: cliente molesto debido a que no suma upys por poliza de seguros
📌Área: Producto
📌Caso reclamado: 09575862
📌Solicitante:telefónico"
2026-01-01;2026-01-03;9597676;Consulta;Reclamo / revision;El cliente reclama reintegro, se verifica caso derivado 09404603.
2026-01-01;2026-01-03;9597699;Consulta;Reclamo / revision;El cliente esta molesto porque todavía no hay respuesta y no hay respuesta por parte de los ejecutivos de digital, se solicita prioridad
2026-01-01;2026-01-03;9597925;Consulta;Reclamo / revision;"Cliente consulta sobre su reclamo 	
09280014"
2026-01-01;2026-01-03;9597940;Consulta;No aplica / condiciones;se le indica reintegro no corresponde
2026-01-01;2026-01-03;9597969;Consulta;No aplica / condiciones;"Cliente consulta por dos reintegros, compras realizadas el 24/12, queria acceder a la promocion reintegro misterioso. 
Se indica dinamica de la promocion, por lo cual en esta ocasion no aplica. 
Menciona que la compra en biggie si deberia de acceder, se comenta byc de la promo es para fin de semana del mes de diciembre, como la compra fue el miercoles 24/12, no aplica. 

Se realiza saliente, indica que no puede seguir por llamada, debido a que esta en una consulta por lo cual vera en el chat, luego escribo mensajes,  ya no contesta insistencias de chat. 
No se realiza otra saliente debido a lo comentado por la cliente"
2026-01-01;2026-01-03;9599904;Consulta;No aplica / condiciones;reintegros en biggie, no recuerda fecha, se verifica que no corresponde debido a que la compra es menos de 70.000, se explica byc de biggie
2026-01-01;2026-01-03;9599969;Consulta;No aplica / condiciones;Cliente en referencia se contacta consultando si corresponde el reintegro con la compra que realizo el día de ayer, la compra fue hecha en MONKEY JACK PRY y según ByC actualizadas existe promoción pero con la sucursal de San Bernandino y la compra se realizo en la sucursal de asunción, por lo que no aplica para el reintegro.
2026-01-01;2026-01-03;9600204;Consulta;Solo nro. caso;09046081
2026-01-01;2026-01-03;9600221;Consulta;No aplica / condiciones;Cliente se comunica consultando por su reintegro en Petropar, se verifica que no corresponde ya que supero su tope de reintegro en la semana.
2026-01-01;2026-01-03;9600507;Consulta;No aplica / condiciones;Se le menciona que el pago realizado en stock el 22/12, lo hiciste con el pos de la red dinelco, lastimosamente la promoción con ese comercio aplicaba solo con el pos de la red infonet o upay, te facilito para que lo puedas verificar mejor
2026-01-01;2026-01-03;9600736;Consulta;Reclamo / revision;El cliente llama muy molesto indicando que quiere ya una respuesta por su reintegro que no se le realizo desde el 07/11/2025, comenta que esta enojado por que no le dan una respuesta.
2026-01-01;2026-01-03;9602310;Consulta;No aplica / condiciones;Cliente se contacta indicando que habría realizado una compra en local de UPA LUQUE CITI, YBYTURUSU ESQ/ ABDON CABALLERO,  indica el mismo indica que realizo una compra en dicho comercio en este caso habria solicitado el pago de UPAY, en este caso se realizo con el POS de INFONET y le indicaron que dicho comercio no contaría con dicho pos en este caso pero contaría con las propagandas de reintegro correspondiente a ByC, llama para informar y poder tomar alguna medida para este caso
2026-01-01;2026-01-03;9602655;Consulta;Reclamo / revision;"Cliente en referencia se acerca al ce de Ñemby para consultar sobre los reintegros en su cuenta, se verifica que no correspondía los reintegros reclamados
Saludos"
2026-01-01;2026-01-03;9602785;Consulta;Seguimiento interno;"Cliente interesado en Pos UPAY

Kevin Raul Barreto Cabrera
CI: 6832406
Contacto: +595976548089
Negocio- Nombre Fantacia: Ricky
RUC: no tiene
Dirección: Lomas valentinas - PJC
Rubro: Gastronomía

adjuntamos sus datos para enviar por mail a alianzas"
2026-01-01;2026-01-03;9603448;Consulta;No aplica / condiciones;Cliente se contacta consultando por la promo de ahorrazo y kingo, pregunta si el tope es indistinto, a lo que se le informa que el tope total y también pregunta si las fechas correspondientes solo son las que se encuentran en las ByC a lo que se le informa que si. Cliente agradece y se despide.
2026-01-01;2026-01-03;9603875;Consulta;No aplica / condiciones;Cliente reclama por un reintegro de Stock, se verifica y se le indica que ya llego al limite de reintegro del mes, ya que el 01 de diciembre hizo una compra en box mayorista
2026-01-01;2026-01-03;9605267;Consulta;No aplica / condiciones;CLIENTE SE CONTACTA CONSULTANDO SOBRE REINTEGRO EN EL COMERCIO TATAKUA SEGUN VERIFICO EL COMERCIO NO SE ENCUENTRA ADHERIDO A LAS BYC. EL CLIENTE COMENTA QUE FUE AL SHOPPING PINEDO EL DIA DE HOY Y EN EL LOCAL LE INDICARON QUE TIENE REINTEGROS CON EL BANCO Y QUE CONTABAN CON UN CARTEL QUE INDICABA 40% DE REINTEGROS CON EL BANCO
2026-01-01;2026-01-03;9605514;Consulta;No aplica / condiciones;"➤Motivo del contacto: Cliente consulta por reintegros del m es de diciembre
➤Verificación realizada: Verifico los pagos que hizo y los reintegros que reclama.
➤Información brindada: Verifico y el reintegro no corresponde ya que el comercio no esta adherido a la promoción en el mes de diciembre. Le indico eso al cliente y agradece y se despide."
2026-01-01;2026-01-03;9605593;Consulta;No aplica / condiciones;"Motivo de la consulta: El cliente solicita confirmar el límite de compra para la promoción en ""Box Mayorista"", debido a información contradictoria recibida en el comercio. Gestión realizada: Se aclara al titular que, contrario a lo indicado por el cajero del establecimiento, sí existe un tope de compra sujeto a beneficios. Se le informa que el límite de compra es de 1,000,000 PYG. Al encontrarse el cliente en el Nivel 5, le corresponde un 40% de reintegro, con un tope máximo de devolución de 400,000 PYG. El cliente queda debidamente informado."
2026-01-01;2026-01-03;9605953;Consulta;No aplica / condiciones;Clientes se comunica indicando que realizó una carga de combustible de 50,000gs en Petropar. Pero solamente le reintegró 19,000 guaraníes. Se verifica que el día de ayer usó la tarjeta para cargar en petropar combustible llegando así al tope semanal de reintegro. Se corta la llamada entonces se vuelve a hacer una saliente, y al contestar la cliente, me indica que su esposo fue el que usó la tarjeta, entonces ya le quedó en claro que llegó a su tope semanal.
2026-01-01;2026-01-03;9606172;Consulta;No aplica / condiciones;se brinda información información sobre compra realizada en fecha 16/12/2025, se indica a la misma que no accede al beneficio de las compras a cuotas sin intereses porque el pago lo realizo con la red infonet, no asi la red upay
2026-01-01;2026-01-04;9606970;Consulta;No aplica / condiciones;Consulta por reintegro no aplicado en combustible, específicamente en petrobras, mencioné que el pago fue realizado con pos de la red dinelco y debía ser con la red infonet o upay para que se procese el reintegro
2026-01-01;2026-01-04;9607056;Consulta;No aplica / condiciones;"Cliente en referencia se contacta consultando sobre el reintegro recibido al cargar en Petropar.
Consulta si el mismo corresponde a la promoción de Reyes Magos, ya que recibió un reintegro mayor al esperado. Se verifica que el cliente es nivel 3, por lo cual le corresponde un 30% de reintegro, información que se le indica y comprende.
Posteriormente, se le informan los topes y los comercios adheridos a la promoción de Reyes Magos, lo cual comprende y agradece."
2026-01-01;2026-01-04;9607251;Consulta;No aplica / condiciones;Cliente consulta por un reintegro, se verifica que el pago lo realizo con el pos de dinelco por eso que no recibirá, se le indica, comprende.
2026-01-01;2026-01-04;9607594;Consulta;No aplica / condiciones;"Cliente, se comunica consultando por el reintegro que aún no recibe, Se le indica que su compra se procesó a través del pos de dinelco. Se le informa cuestiona y dice que ella pagó con bancard, Se le indica que el número de la terminal de cobro de proceso por dinelco.
Comprende, dice que va a reclamar con el comercio."
2026-01-01;2026-01-04;9607654;Consulta;No aplica / condiciones;Cliente consulta por BYC de ahorrazo, cual seria el monto mínimo de compra para poder acceder al reintegro, se detallan puntos a tener en cuenta para que el mismo aplique
